Techstack,Links
"React, Node.js, MongoDB",https://example.com/mern-portfolio
"Angular, Express, MySQL",https://example.com/angular-express-portfolio
"Vue.js, Flask, SQLite",https://example.com/vue-flask-portfolio
"Django, PostgreSQL, Redis",https://example.com/django-portfolio
"Ruby on Rails, MongoDB",https://example.com/ruby-rails-portfolio
"Spring Boot, MySQL",https://example.com/spring-boot-portfolio
"ASP.NET, SQL Server",https://example.com/aspnet-portfolio
"Flutter, Firebase",https://example.com/flutter-portfolio
"PHP, Laravel, MySQL",https://example.com/php-laravel-portfolio
"Go, Gin, PostgreSQL",https://example.com/go-gin-portfolio 